first_purchase_month,cohort_size,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
2019-01,215,100.0,6.0,11.2,15.8,10.7,20.5,16.3,21.9,10.7,13.0,9.3,15.8
2019-02,96,100.0,7.3,9.4,16.7,17.7,22.9,19.8,15.6,12.5,11.5,16.7,
2019-03,177,100.0,10.2,19.8,14.1,18.1,18.6,12.4,12.4,8.5,10.7,,
2019-04,163,100.0,8.6,14.7,14.7,11.0,9.2,6.1,9.8,7.4,,,
2019-05,112,100.0,10.7,8.0,11.6,8.9,11.6,12.5,7.1,,,,
2019-06,137,100.0,14.6,16.1,8.8,8.0,10.2,8.0,,,,,
2019-07,94,100.0,13.8,4.3,6.4,11.7,9.6,,,,,,
2019-08,135,100.0,10.4,11.1,7.4,5.9,,,,,,,
2019-09,78,100.0,7.7,3.8,2.6,,,,,,,,
2019-10,87,100.0,6.9,4.6,,,,,,,,,
2019-11,68,100.0,10.3,,,,,,,,,,
2019-12,106,100.0,,,,,,,,,,,
