first_purchase_month,cohort_size,retention_pct,month_index,is_baseline
2019-01,215,100.0,0,True
2019-01,215,6.0,1,False
2019-01,215,11.2,2,False
2019-01,215,15.8,3,False
2019-01,215,10.7,4,False
2019-01,215,20.5,5,False
2019-01,215,16.3,6,False
2019-01,215,21.9,7,False
2019-01,215,10.7,8,False
2019-01,215,13.0,9,False
2019-01,215,9.3,10,False
2019-01,215,15.8,11,False
2019-02,96,100.0,0,True
2019-02,96,7.3,1,False
2019-02,96,9.4,2,False
2019-02,96,16.7,3,False
2019-02,96,17.7,4,False
2019-02,96,22.9,5,False
2019-02,96,19.8,6,False
2019-02,96,15.6,7,False
2019-02,96,12.5,8,False
2019-02,96,11.5,9,False
2019-02,96,16.7,10,False
2019-03,177,100.0,0,True
2019-03,177,10.2,1,False
2019-03,177,19.8,2,False
2019-03,177,14.1,3,False
2019-03,177,18.1,4,False
2019-03,177,18.6,5,False
2019-03,177,12.4,6,False
2019-03,177,12.4,7,False
2019-03,177,8.5,8,False
2019-03,177,10.7,9,False
2019-04,163,100.0,0,True
2019-04,163,8.6,1,False
2019-04,163,14.7,2,False
2019-04,163,14.7,3,False
2019-04,163,11.0,4,False
2019-04,163,9.2,5,False
2019-04,163,6.1,6,False
2019-04,163,9.8,7,False
2019-04,163,7.4,8,False
2019-05,112,100.0,0,True
2019-05,112,10.7,1,False
2019-05,112,8.0,2,False
2019-05,112,11.6,3,False
2019-05,112,8.9,4,False
2019-05,112,11.6,5,False
2019-05,112,12.5,6,False
2019-05,112,7.1,7,False
2019-06,137,100.0,0,True
2019-06,137,14.6,1,False
2019-06,137,16.1,2,False
2019-06,137,8.8,3,False
2019-06,137,8.0,4,False
2019-06,137,10.2,5,False
2019-06,137,8.0,6,False
2019-07,94,100.0,0,True
2019-07,94,13.8,1,False
2019-07,94,4.3,2,False
2019-07,94,6.4,3,False
2019-07,94,11.7,4,False
2019-07,94,9.6,5,False
2019-08,135,100.0,0,True
2019-08,135,10.4,1,False
2019-08,135,11.1,2,False
2019-08,135,7.4,3,False
2019-08,135,5.9,4,False
2019-09,78,100.0,0,True
2019-09,78,7.7,1,False
2019-09,78,3.8,2,False
2019-09,78,2.6,3,False
2019-10,87,100.0,0,True
2019-10,87,6.9,1,False
2019-10,87,4.6,2,False
2019-11,68,100.0,0,True
2019-11,68,10.3,1,False
2019-12,106,100.0,0,True
